trace_id,name,input_tokens,output_tokens,total_tokens,total_cost_usd,latency_ms,started,models_seen,success_flag
019e0e83-7c8,LangGraph,678,160,838,0.002928,3756,2026-05-09T20:52:38.658560+00:00,claude-haiku-4-5,1
019e0e84-13f,LangGraph,282,116,398,0.002586,3697,2026-05-09T20:53:17.432885+00:00,claude-sonnet-4-5-20250929,1
019e0e84-226,LangGraph,632,192,824,0.003316,5671,2026-05-09T20:53:21.132201+00:00,claude-haiku-4-5,1
019e0e84-c15,LangGraph,290,81,371,0.002085,2040,2026-05-09T20:54:01.819566+00:00,claude-sonnet-4-5-20250929,1
019e0e84-c95,LangGraph,648,157,805,0.002823,3457,2026-05-09T20:54:03.861399+00:00,claude-haiku-4-5,1
019e0e85-5fa,LangGraph,287,96,383,0.002301,2896,2026-05-09T20:54:42.337599+00:00,claude-sonnet-4-5-20250929,1
019e0e85-6af,LangGraph,642,172,814,0.003036,4931,2026-05-09T20:54:45.236613+00:00,claude-haiku-4-5,1
019e0e86-06f,LangGraph,298,88,386,0.002214,2526,2026-05-09T20:55:25.181821+00:00,claude-sonnet-4-5-20250929,1
019e0e86-10d,LangGraph,664,164,828,0.00296,3845,2026-05-09T20:55:27.709910+00:00,claude-haiku-4-5,1
019e0e86-a8a,LangGraph,283,95,378,0.002274,3164,2026-05-09T20:56:06.575349+00:00,claude-sonnet-4-5-20250929,1
019e0e86-b50,LangGraph,634,174,808,0.00305,4065,2026-05-09T20:56:09.741126+00:00,claude-haiku-4-5,1
019e0e87-4db,LangGraph,291,141,432,0.002988,5333,2026-05-09T20:56:48.819984+00:00,claude-sonnet-4-5-20250929,1
019e0e87-628,LangGraph,650,205,855,0.003547,6887,2026-05-09T20:56:54.154344+00:00,claude-haiku-4-5,1
019e0e88-064,ChatAnthropic,2347,99,2446,0.002842,1812,2026-05-09T20:57:36.067339+00:00,claude-haiku-4-5,1
019e0e88-0d6,ChatAnthropic,2350,96,2446,0.00283,1638,2026-05-09T20:57:37.892581+00:00,claude-haiku-4-5,1
019e0e88-13c,ChatAnthropic,2465,93,2558,0.00293,1720,2026-05-09T20:57:39.532856+00:00,claude-haiku-4-5,1
019e0e88-1a8,ChatAnthropic,2465,93,2558,0.00293,1840,2026-05-09T20:57:41.255996+00:00,claude-haiku-4-5,1
019e0e88-21b,ChatAnthropic,2465,93,2558,0.00293,1708,2026-05-09T20:57:43.098700+00:00,claude-haiku-4-5,1
019e0e88-286,ChatAnthropic,2465,91,2556,0.00292,2114,2026-05-09T20:57:44.809411+00:00,claude-haiku-4-5,1
019e0e88-30a,ChatAnthropic,2465,93,2558,0.00293,1652,2026-05-09T20:57:46.926504+00:00,claude-haiku-4-5,1
019e0e88-372,ChatAnthropic,2073,99,2172,0.002568,1685,2026-05-09T20:57:48.581421+00:00,claude-haiku-4-5,1
019e0e88-3db,ChatAnthropic,2489,103,2592,0.003004,1838,2026-05-09T20:57:50.269130+00:00,claude-haiku-4-5,1
019e0e88-44e,ChatAnthropic,2465,94,2559,0.002935,1864,2026-05-09T20:57:52.109710+00:00,claude-haiku-4-5,1
019e0e88-4c3,ChatAnthropic,2489,103,2592,0.003004,1817,2026-05-09T20:57:53.976242+00:00,claude-haiku-4-5,1
019e0e88-535,ChatAnthropic,2320,100,2420,0.00282,1694,2026-05-09T20:57:55.795983+00:00,claude-haiku-4-5,1
019e0e88-59f,ChatAnthropic,2489,103,2592,0.003004,1681,2026-05-09T20:57:57.493266+00:00,claude-haiku-4-5,1
019e0e88-608,ChatAnthropic,2465,92,2557,0.002925,1736,2026-05-09T20:57:59.176596+00:00,claude-haiku-4-5,1
019e0e88-675,ChatAnthropic,2489,103,2592,0.003004,2249,2026-05-09T20:58:00.915136+00:00,claude-haiku-4-5,1
019e0e88-701,ChatAnthropic,2035,86,2121,0.002465,1534,2026-05-09T20:58:03.167094+00:00,claude-haiku-4-5,1
019e0e88-762,ChatAnthropic,2489,103,2592,0.003004,1800,2026-05-09T20:58:04.704907+00:00,claude-haiku-4-5,1
019e0e88-7d2,ChatAnthropic,2465,93,2558,0.00293,1688,2026-05-09T20:58:06.508325+00:00,claude-haiku-4-5,1
019e0e88-83c,ChatAnthropic,2489,103,2592,0.003004,1703,2026-05-09T20:58:08.200011+00:00,claude-haiku-4-5,1
019e0e88-8a7,ChatAnthropic,2465,93,2558,0.00293,1929,2026-05-09T20:58:09.905797+00:00,claude-haiku-4-5,1
019e0e88-91f,ChatAnthropic,2465,93,2558,0.00293,1918,2026-05-09T20:58:11.837336+00:00,claude-haiku-4-5,1
019e0e88-997,ChatAnthropic,2346,113,2459,0.002911,2413,2026-05-09T20:58:13.758426+00:00,claude-haiku-4-5,1
019e0e88-a2e,ChatAnthropic,2465,361,2826,0.00427,5063,2026-05-09T20:58:16.174357+00:00,claude-haiku-4-5,1
019e0e88-b6b,ChatAnthropic,2465,92,2557,0.002925,1643,2026-05-09T20:58:21.240452+00:00,claude-haiku-4-5,1
019e0e88-bd2,ChatAnthropic,2465,91,2556,0.00292,1783,2026-05-09T20:58:22.886159+00:00,claude-haiku-4-5,1
019e0e88-c42,ChatAnthropic,2489,103,2592,0.003004,1739,2026-05-09T20:58:24.672571+00:00,claude-haiku-4-5,1
019e0e88-cae,ChatAnthropic,2054,90,2144,0.002504,3520,2026-05-09T20:58:26.414439+00:00,claude-haiku-4-5,1
019e0e88-d8b,ChatAnthropic,2489,103,2592,0.003004,1674,2026-05-09T20:58:29.937856+00:00,claude-haiku-4-5,1
019e0e88-df3,ChatAnthropic,2446,381,2827,0.004351,5446,2026-05-09T20:58:31.615066+00:00,claude-haiku-4-5,1
019e0e88-f48,ChatAnthropic,2356,112,2468,0.002916,1795,2026-05-09T20:58:37.064417+00:00,claude-haiku-4-5,1
019e0e88-fb8,ChatAnthropic,2347,81,2428,0.002752,1586,2026-05-09T20:58:38.863072+00:00,claude-haiku-4-5,1
019e0e89-01c,ChatAnthropic,2333,81,2414,0.002738,1471,2026-05-09T20:58:40.451985+00:00,claude-haiku-4-5,1
019e0e89-078,ChatAnthropic,2352,82,2434,0.002762,1664,2026-05-09T20:58:41.926666+00:00,claude-haiku-4-5,1
019e0e89-0e0,ChatAnthropic,2343,94,2437,0.002813,1761,2026-05-09T20:58:43.593142+00:00,claude-haiku-4-5,1
019e0e89-14e,ChatAnthropic,2354,87,2441,0.002789,1739,2026-05-09T20:58:45.357330+00:00,claude-haiku-4-5,1
019e0e89-1bb,ChatAnthropic,2366,81,2447,0.002771,1539,2026-05-09T20:58:47.099172+00:00,claude-haiku-4-5,1
019e0e89-21c,ChatAnthropic,2367,85,2452,0.002792,2049,2026-05-09T20:58:48.640180+00:00,claude-haiku-4-5,1
019e0e89-29c,ChatAnthropic,2360,92,2452,0.00282,2039,2026-05-09T20:58:50.691685+00:00,claude-haiku-4-5,1
019e0e89-31b,ChatAnthropic,2345,109,2454,0.00289,1899,2026-05-09T20:58:52.734331+00:00,claude-haiku-4-5,1
019e0e89-392,ChatAnthropic,2368,95,2463,0.002843,1620,2026-05-09T20:58:54.635902+00:00,claude-haiku-4-5,1
